reviewId,providerId,providerName,type,region,rule,target,status,sourceUrl,evidenceSummary,suggestedDecision,correctedFields
source-fit-capture:gp-te-puna-hauora-o-te-raki-paewhenua-health-social-services-36-7979-174-7006:weak-maori-evidence:maori,gp-te-puna-hauora-o-te-raki-paewhenua-health-social-services-36-7979-174-7006,Te Puna Hauora o te Raki Paewhenua - Health & Social Services,gp,Auckland,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-te-r-nanga-o-ng-ti-pikiao-general-practice-38-1365-176-2492:weak-maori-evidence:maori,gp-te-r-nanga-o-ng-ti-pikiao-general-practice-38-1365-176-2492,Te Rūnanga o Ngāti Pikiao - General Practice,gp,Rotorua and Taupo,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-te-whare-hauora-o-raungaiti-37-7387-175-7379:weak-maori-evidence:maori,gp-te-whare-hauora-o-raungaiti-37-7387-175-7379,Te Whare Hauora o Raungaiti,gp,Bay of Plenty,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-toi-wh-nau-health-36-9241-174-7857:weak-maori-evidence:maori,gp-toi-wh-nau-health-36-9241-174-7857,Toi Whānau Health,gp,Auckland,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-tui-ora-hauora-wh-nau-ng-motu-39-0687-174-0679:weak-maori-evidence:maori,gp-tui-ora-hauora-wh-nau-ng-motu-39-0687-174-0679,Tui Ora Hauora ā-Whānau Ngāmotu,gp,Taranaki,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-tui-ora-hauora-wh-nau-whaitara-39-0020-174-2353:weak-maori-evidence:maori,gp-tui-ora-hauora-wh-nau-whaitara-39-0020-174-2353,Tui Ora Hauora ā-Whānau Whaitara,gp,Taranaki,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-waikiwi-medical-centre-46-3792-168-3474:weak-maori-evidence:maori,gp-waikiwi-medical-centre-46-3792-168-3474,Waikiwi Medical Centre,gp,Southland,weak-maori-evidence,maori,safe_removal_candidate,https://doctorpricer.co.nz/,,review-gated adjust: remove unsupported matching tag/flags,"{""tags"":[""gp"",""primary-care"",""mental-health"",""medication"",""depression"",""anxiety"",""work"",""cost"",""not-enrolling""]}"
source-fit-capture:gp-wh-nau-ora-community-clinic-kaikohe-35-4081-173-7970:weak-maori-evidence:maori,gp-wh-nau-ora-community-clinic-kaikohe-35-4081-173-7970,Whānau Ora Community Clinic - Kaikohe,gp,Northland,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-wh-nau-ora-community-clinic-mahia-road-37-0375-174-8887:weak-maori-evidence:maori,gp-wh-nau-ora-community-clinic-mahia-road-37-0375-174-8887,Whānau Ora Community Clinic - Mahia Road,gp,Auckland,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-wh-nau-ora-community-clinic-puhinui-road-36-9910-174-8512:weak-maori-evidence:maori,gp-wh-nau-ora-community-clinic-puhinui-road-36-9910-174-8512,Whānau Ora Community Clinic - Puhinui Road,gp,Auckland,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-wh-nau-ora-community-clinic-pukekohe-37-2096-174-9097:weak-maori-evidence:maori,gp-wh-nau-ora-community-clinic-pukekohe-37-2096-174-9097,Whānau Ora Community Clinic - Pukekohe,gp,Auckland,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-wh-nau-ora-community-clinic-te-waipounamu-43-5213-172-6990:weak-maori-evidence:maori,gp-wh-nau-ora-community-clinic-te-waipounamu-43-5213-172-6990,Whānau Ora Community Clinic - Te Waipounamu,gp,Canterbury,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:hawkes-bay-bay-psychology:broad-tag-without-source-support:depression,hawkes-bay-bay-psychology,Bay Psychology,psychologist,Hawke's Bay,broad-tag-without-source-support,depression,fetch_failed,https://baypsychology.co.nz/contact-us/,,needs_more_info,{}
source-fit-capture:hawkes-bay-bay-psychology:broad-tag-without-source-support:anxiety,hawkes-bay-bay-psychology,Bay Psychology,psychologist,Hawke's Bay,broad-tag-without-source-support,anxiety,fetch_failed,https://baypsychology.co.nz/contact-us/,,needs_more_info,{}
source-fit-capture:hawkes-bay-community-mental-health-addiction:weak-telehealth-evidence:telehealth,hawkes-bay-community-mental-health-addiction,Hawke's Bay Community Mental Health and Addiction Services,public-service,Hawke's Bay,weak-telehealth-evidence,telehealth,safe_removal_candidate,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/community-mental-health-and-addiction-services/at/76-wellesley-road-napier-south-napier-1/,,review-gated adjust: remove unsupported matching tag/flags,"{""phoneSupport"":false}"
source-fit-capture:hawkes-bay-craig-colhoun:broad-tag-without-source-support:depression,hawkes-bay-craig-colhoun,Dr Craig Colhoun Psychology,psychologist,Hawke's Bay,broad-tag-without-source-support,depression,safe_removal_candidate,https://drcraigcolhoun.co.nz/contact/,,review-gated adjust: remove unsupported matching tag/flags,"{""tags"":[""psychologist"",""clinical-psychologist"",""neuropsychology"",""assessment"",""therapy"",""anxiety"",""fit"",""direct-contact""]}"
source-fit-capture:hawkes-bay-craig-colhoun:broad-tag-without-source-support:anxiety,hawkes-bay-craig-colhoun,Dr Craig Colhoun Psychology,psychologist,Hawke's Bay,broad-tag-without-source-support,anxiety,safe_removal_candidate,https://drcraigcolhoun.co.nz/contact/,,review-gated adjust: remove unsupported matching tag/flags,"{""tags"":[""psychologist"",""clinical-psychologist"",""neuropsychology"",""assessment"",""therapy"",""depression"",""fit"",""direct-contact""]}"
